gain	24	2	-76.53
gain	2	25	-55.97
gain	25	2	-48.41
gain	2	26	-83.29
gain	26	2	-78.14
gain	2	27	-89.15
gain	27	2	-83.33
gain	2	28	-90.11
gain	28	2	-81.56
gain	2	29	-83.04
gain	29	2	-80.14
gain	2	30	-73.30
gain	30	2	-67.60
gain	2	31	-87.08
gain	31	2	-74.47
gain	2	32	-84.88
gain	32	2	-78.37
gain	2	33	-78.70
gain	33	2	-79.17
gain	2	34	-83.21
gain	34	2	-80.60
gain	2	35	-88.56
gain	35	2	-81.97
gain	2	36	-75.04
gain	36	2	-71.58
gain	2	37	-81.64
gain	37	2	-80.85
gain	2	38	-82.15
gain	38	2	-78.27
gain	2	39	-74.03
gain	39	2	-72.69
gain	2	40	-75.17
gain	40	2	-76.73
gain	2	41	-86.26
gain	41	2	-81.95
gain	2	42	-77.09
gain	42	2	-72.05
gain	2	43	-84.77
gain	43	2	-77.81
gain	2	44	-74.86
gain	44	2	-69.91
gain	2	45	-81.80
gain	45	2	-70.81
gain	2	46	-93.32
gain	46	2	-88.79
gain	2	47	-74.41
gain	47	2	-64.06
gain	2	48	-75.26
gain	48	2	-72.45
gain	3	4	-64.83
gain	4	3	-65.95
gain	3	5	-82.52
gain	5	3	-83.81
gain	3	6	-80.20
gain	6	3	-76.46
gain	3	7	-82.42
gain	7	3	-78.00
gain	3	8	-84.30
gain	8	3	-84.00
gain	3	9	-77.78
gain	9	3	-78.57
gain	3	10	-78.31
gain	10	3	-73.38
gain	3	11	-87.22
gain	11	3	-87.73
gain	3	12	-83.10
gain	12	3	-81.88
gain	3	13	-80.84
gain	13	3	-77.81
gain	3	14	-87.62
gain	14	3	-80.81
gain	3	15	-79.21
gain	15	3	-78.05
gain	3	16	-76.36
gain	16	3	-71.91
gain	3	17	-86.73
gain	17	3	-82.40
gain	3	18	-78.32
gain	18	3	-75.26
gain	3	19	-68.27
gain	19	3	-71.16
gain	3	20	-82.25
gain	20	3	-81.60
gain	3	21	-82.24
gain	21	3	-77.94
gain	3	22	-81.13
gain	22	3	-85.31
gain	3	23	-79.47
gain	23	3	-81.41
gain	3	24	-81.29
gain	24	3	-77.34
gain	3	25	-78.36
gain	25	3	-73.71
gain	3	26	-69.55
gain	26	3	-67.30
gain	3	27	-71.79
gain	27	3	-68.87
gain	3	28	-82.65
gain	28	3	-77.00
gain	3	29	-72.62
gain	29	3	-72.63
gain	3	30	-75.65
gain	30	3	-72.85
gain	3	31	-69.44
gain	31	3	-59.73
gain	3	32	-71.54
gain	32	3	-67.93
